1;1;1.23
1;2;1.0889
1;3;1.0289
1;4;0.9879
1;5;0.9879
1;6;1.105
1;7;1.3729
1;8;1.6649
1;9;1.79
1;10;2.1569
1;11;2.323
1;2;2.3659
1;3;2.3731
1;14;2.2311
1;15;2.156
1;16;2.208
1;17;2.2949
1;18;2.37141
1;19;2.5
1;20;2.434
1;21;2.356
1;22;2
1;23;1.989
1;24;1.808
2;1;1.6049
2;2;1.4389
2;3;1.3631
2;4;1.3559
2;5;1.3439
2;6;1.389
2;7;1.5699
2;8;1.775
2;9;2.018
2;10;2.19
2;11;2.3359
2;12;2.363
2;13;2.3359
2;14;2.156
2;15;2.0799
2;16;2.1651
2;17;2.2551
2;18;2.3671
2;19;2.477
2;20;2.431
2;21;2.354
2;22;2.21
2;23;1.7085
2;24;1.7
3;1;1.663
3;2;1.4689
3;3;1.389
3;4;1.3751
3;5;1.3611
3;6;1.414
3;7;1.604
3;8;1.8009
3;9;2.0739
3;10;2.2301
3;11;2.3649
3;12;2.399
3;13;2.358
3;14;2.2
3;15;2.1231
3;16;2.1749
3;17;2.2049
3;18;2.3349
3;19;2.464
3;20;2.378
3;21;2.414
3;22;2.004
3;23;1.8582
3;24;1.7071
4;1;1.7299
4;2;1.5159
4;3;1.432
4;4;1.3931
4;5;1.3909
4;6;1.431
4;7;1.614
4;8;1.817
4;9;2.0989
4;10;2.226
4;11;2.381
4;12;2.3741
4;13;2.3021
4;14;2.1459
4;15;2.0581
4;16;2.0809
4;17;2.1651
4;18;2.238
4;19;2.282
4;20;2.154
4;21;2.102
4;22;1.995
4;23;1.904
4;24;1.859
5;1;1.7129
5;2;1.4569
5;3;1.3461
5;4;1.288
5;5;1.2331
5;6;1.1911
5;7;1.157
5;8;1.17
5;9;1.2139
5;10;1.337
5;11;1.4799
5;12;1.574
5;13;1.5951
5;14;1.5771
5;15;1.5629
5;16;1.532
5;17;1.544
5;18;1.638
5;19;1.731
5;20;1.748
5;21;1.7921
5;22;1.8321
5;23;1.862
5;24;1.793
6;1;1.713
6;2;1.2821
6;3;1.182
6;4;1.122
6;5;1.0961
6;6;1.1059
6;7;1.171
6;8;1.2751
6;9;1.4121
6;10;1.545
6;11;1.711
6;12;1.741
6;13;1.7129
6;14;1.62
6;15;1.557
6;16;1.5831
6;17;1.6251
6;18;1.6251
6;19;1.895
6;20;1.904
6;21;1.981
6;22;1.986
6;23;1.958
6;24;1.748
7;1;1.414
7;2;1.325
7;3;1.2249
7;4;1.2239
7;5;1.124
7;6;1.0191
7;7;0.9989
7;8;0.9989
7;9;0.979
7;10;1.015
7;11;1.1271
7;12;1.2271
7;13;1.295
7;14;1.313
7;15;1.2909
7;16;1.26
7;17;1.2669
7;18;1.3631
7;19;1.453
7;20;1.602
7;21;1.644
7;22;1.615
7;23;1.503
7;24;1.499